epoch,iteration,clean_acc,lr,loss,L_task,L_adv,L_reg
1,2,91.88,0.0020000000000000005,4.072973762936605,2.143440951014419,3.8587114033491714,0.01771126861881722
2,2,91.73,0.004000000000000001,4.0780089654581015,2.145484983921051,3.8646915574817706,0.017820517826691994
3,2,92.1,0.006000000000000001,4.07984530163543,2.145591286747047,3.8681520110810808,0.017801869851167853
4,2,91.74,0.008000000000000002,4.066801843435868,2.1340518732509954,3.865142645433431,0.01786432905441812
5,2,92.03,0.010000000000000002,4.06866538463651,2.1360202079538797,3.8649332245902333,0.017856982155510074
6,2,91.83,0.009987820251299124,4.091945840269708,2.155788239463211,3.871959932319953,0.017763855692018254
7,2,91.71,0.009951340343707853,4.08553057436443,2.1489949720290005,3.8727121810474054,0.017950875644126663
8,2,92.19,0.00989073800366903,4.073770023977665,2.1397122841356966,3.867754767617911,0.018034936300457438
9,2,91.72,0.009806308479691597,4.078289988095803,2.144385447130179,3.867449956476841,0.017956195016870336
10,2,91.69,0.009698463103929545,4.076678368746472,2.1450045239894897,3.8629878174008616,0.01799477446738564
11,2,91.89,0.009567727288213005,4.064677246696199,2.135916817371193,3.857166250038635,0.017730583992960583
12,2,91.69,0.009414737964294637,4.081985328813343,2.145526957328972,3.872555346135288,0.018070069852682863
13,2,91.74,0.009240240480782131,4.079408642276169,2.1465661388528927,3.865322807255913,0.01810920304830765
14,2,91.79,0.009045084971874739,4.07485933681888,2.1423614869642136,3.864637115117534,0.01792800451433548
15,2,92.08,0.008830222215594891,4.0767993015401505,2.1451998374346273,3.862841390892673,0.017876312789290458
16,2,91.77,0.008596699001693258,4.076027600661568,2.144366611300222,3.86296702376412,0.0177478929445662
17,2,91.73,0.008345653031794293,4.073324596180635,2.144222752365005,3.857847440578139,0.017812070946502105
18,2,91.84,0.008078307376628293,4.066923924419276,2.134877649719453,3.8637323428297896,0.018010877932676726
19,2,91.82,0.007795964517353735,4.070383230743506,2.13996994114288,3.860470262634785,0.01781606677528995
20,2,91.91,0.0075000000000000015,4.071934288420031,2.1429948235106897,3.857520176016766,0.017937431169097382
21,2,92.11,0.0071918557339453884,4.066272851756162,2.1395140605814316,3.8531585187863207,0.017952506357799176
22,2,91.95,0.0068730329670795625,4.059631540647248,2.127884528063752,3.8631326258944734,0.01807008793367945
23,2,91.76,0.006545084971874738,4.076989156510824,2.144955706565886,3.863709772334379,0.01785698903919867
24,2,92.27,0.006209609477998339,4.0761880091084235,2.140225975714681,3.871566109645092,0.017897798548764585
25,2,92.17,0.0058682408883346535,4.07968014432951,2.1479443398582965,3.863112691113406,0.017946293995575145
26,2,92.21,0.005522642316338268,4.077761768075207,2.1432736401667682,3.868618490141066,0.017888396083975158
27,2,91.57,0.005174497483512507,4.076759670396595,2.144367615585132,3.8644243997076284,0.017985911544440958
28,2,91.96,0.0048255025164874975,4.082504045018149,2.1498815575828942,3.864890647361346,0.017716549696577023
29,2,91.71,0.004477357683661734,4.080474602901722,2.145890265474539,3.8688082597444735,0.018021116093934877
30,2,92.16,0.004131759111665349,4.076962272224524,2.144500271286196,3.8645648184944603,0.017958205413606848
31,2,91.85,0.0037903905220016626,4.075002272720532,2.14364731403263,3.8623510605234013,0.017943762985946576
32,2,91.99,0.003454915028125264,4.069917174251488,2.1360374792762427,3.8674036477837723,0.017787168337189404
33,2,91.74,0.0031269670329204403,4.0763204100796635,2.1447303473492108,3.8628242677434934,0.01779179624579561
34,2,91.76,0.002808144266054613,4.066440285319257,2.136399506455492,3.8597262744098675,0.017764968121105142
35,2,92.18,0.002500000000000002,4.075318955704379,2.1428655158833165,3.8645514158336707,0.017773752928475665
36,2,92.2,0.002204035482646267,4.068037444368348,2.1353672038563682,3.864981634232699,0.017942644288892026
37,2,91.76,0.0019216926233717089,4.083441799558947,2.1520624189730495,3.8624003418266315,0.01792085828030925
38,2,91.8,0.0016543469682057108,4.083157951264735,2.148327476075848,3.8693029603080067,0.017900289089926292
39,2,91.73,0.0014033009983067453,4.084467285734308,2.1501544489884927,3.8682672629880783,0.017921732191968222
40,2,92.14,0.0011697777844051106,4.074463370206106,2.143710040985166,3.8611499754059344,0.01783399770865241
41,2,92.06,0.0009549150281252635,4.087495028210418,2.151053835059066,3.872523862077757,0.017925676563397393
42,2,91.87,0.0007597595192178703,4.08510436212925,2.149875191166578,3.87010109516056,0.017862809729069243
43,2,92.1,0.0005852620357053651,4.077128504548232,2.1474312992047166,3.859036472142505,0.01789791780569212
44,2,91.97,0.0004322727117869952,4.068349747401674,2.142363584712338,3.851613630419192,0.01793519765748392
45,2,91.91,0.0003015368960704585,4.071384516518439,2.142038320793825,3.858338238333192,0.017707692483044647
46,2,91.69,0.00019369152030840556,4.062251110211053,2.1317720654065653,3.8606006748536053,0.01786952505312155
47,2,91.6,0.00010926199633097158,4.073475634655379,2.1373031493038166,3.871986590687881,0.01791928600534187
48,2,91.8,4.86596562921482e-05,4.07439080132243,2.141750369840266,3.864924183586979,0.01783322081174654
49,2,92.12,1.2179748700879014e-05,4.06418903648396,2.135383499095507,3.857254440827138,0.017831473637496115
50,2,91.94,0.0,4.068817284710876,2.137781165292501,3.861713180151742,0.01795229952796684
