epoch,iteration,clean_acc,lr,loss,L_task,L_adv,L_reg
1,3,13.22,2e-05,6.360235146113804,2.5762677095374285,3.783941554779909,0.02585172021229352
2,3,13.39,4e-05,6.406574558238594,2.5763062652276485,3.8302424574384886,0.025838061079040776
3,3,13.56,6.000000000000001e-05,6.428791929264458,2.581880570674429,3.846885628846227,0.025732340400430317
4,3,13.15,8e-05,6.421410441398621,2.583542609701351,3.8378422430583408,0.02560054704698981
5,3,13.33,0.0001,6.419186689415756,2.57924969220648,3.8399113380179113,0.025655730518189316
6,3,13.36,9.987820251299122e-05,6.4247322690730195,2.578036912849971,3.8466697554199065,0.025579467182978988
7,3,13.33,9.951340343707852e-05,6.420818406708387,2.5793265079965395,3.841466020564644,0.025861400787775615
8,3,13.39,9.890738003669029e-05,6.413690601076398,2.5739382602730574,3.8397263665588532,0.02600293498182175
9,3,12.78,9.806308479691595e-05,6.431711415855252,2.581887567529873,3.849797779200028,0.02608595907269996
10,3,13.3,9.698463103929542e-05,6.426095804389642,2.582506926692262,3.8435627805943393,0.026082917848335847
11,3,13.0,9.567727288213005e-05,6.423914863138783,2.579644110738015,3.844244874253565,0.025870360662134325
12,3,13.16,9.414737964294636e-05,6.414625311384396,2.5787571619968026,3.835842233531329,0.02593596520054401
13,3,13.44,9.24024048078213e-05,6.4287630952134425,2.5801207423210144,3.848616607335149,0.025738757136943086
14,3,13.54,9.045084971874738e-05,6.411044196206696,2.575525157305659,3.8354931449403566,0.02590072730898249
15,3,13.01,8.83022221559489e-05,6.414486121158211,2.576445309483275,3.8380149821845855,0.02581808007588344
16,3,13.02,8.596699001693255e-05,6.413315335098578,2.576879693537342,3.8364097500333982,0.02592538503397788
17,3,13.38,8.345653031794292e-05,6.422202088394943,2.5835289407749564,3.838647346107327,0.025803831054315884
18,3,13.35,8.07830737662829e-05,6.413425489347809,2.5825271642937953,3.830872488265135,0.025822282041784148
19,3,13.56,7.795964517353735e-05,6.421029339031297,2.578406590588239,3.842596603899586,0.026132619550109516
20,3,13.41,7.500000000000001e-05,6.4179359309527335,2.5748471252772274,3.843063236499319,0.02556847275367805
21,3,13.09,7.191855733945387e-05,6.406148698865151,2.5800341136601506,3.8260886632666296,0.025903429294347156
22,3,13.2,6.873032967079561e-05,6.430355587784125,2.5791112877884688,3.8512187527150523,0.02555206691732212
23,3,13.41,6.545084971874738e-05,6.410965812449553,2.5759336279363048,3.8350061993209685,0.02597433027374197
24,3,13.3,6.209609477998338e-05,6.428667406646573,2.5818329672424163,3.846808600182436,0.025844612092311894
25,3,13.16,5.868240888334653e-05,6.415318192267905,2.5810330169541493,3.8342596803392683,0.025506038594116667
26,3,13.58,5.522642316338268e-05,6.425632688463951,2.5821450583788814,3.843461758019973,0.02589257610771729
27,3,13.14,5.174497483512506e-05,6.421784104133139,2.5795660408175722,3.842192311676181,0.02574471923123513
28,3,13.76,4.825502516487497e-05,6.427045510739696,2.5825727387350432,3.8444470897012826,0.02568550767110927
29,3,13.01,4.477357683661734e-05,6.423444409759677,2.577511399376149,3.845907233199295,0.02579207128217938
30,3,13.69,4.131759111665349e-05,6.415583058279388,2.5731798361758798,3.842377116485518,0.0261085410317292
31,3,13.48,3.790390522001662e-05,6.412471274940335,2.5795935903276717,3.8328519670330747,0.02572062426265709
32,3,13.33,3.4549150281252636e-05,6.4258739948272705,2.5802380406126684,3.8456100712017136,0.02591737133583852
33,3,13.09,3.12696703292044e-05,6.414455525729121,2.58071561248935,3.833714413399599,0.025499695113727024
34,3,13.32,2.8081442660546125e-05,6.423650962965829,2.579872130131235,3.843753004560665,0.025802694679218894
35,3,13.19,2.500000000000001e-05,6.417890663049659,2.577610939132924,3.840253692500445,0.02606111731171152
36,3,13.37,2.2040354826462668e-05,6.4232718044397785,2.58096645194657,3.842279345405345,0.02601385957618453
37,3,13.18,1.9216926233717085e-05,6.413173699865536,2.57095722033053,3.842190656126762,0.02582797527845417
38,3,12.92,1.6543469682057106e-05,6.411850221303045,2.57587432739686,3.835950188490809,0.025697635990396445
39,3,13.38,1.4033009983067452e-05,6.428290600679358,2.5777581869339454,3.8505067192778295,0.025725379510193457
40,3,13.21,1.1697777844051105e-05,6.416881634264576,2.581125702176775,3.835730112328821,0.02582064213003127
41,3,13.36,9.549150281252633e-06,6.424843352668139,2.5807007539029025,3.8441170441861057,0.025544648296294773
42,3,13.36,7.597595192178702e-06,6.409780300393397,2.579872892827404,3.82988164011313,0.02574745166514601
43,3,13.31,5.852620357053651e-06,6.425036943688685,2.580059577007683,3.844951570034027,0.025789944968205327
44,3,13.24,4.322727117869951e-06,6.410680452171637,2.57684824904617,3.833806416209863,0.0257899304376725
45,3,13.43,3.0153689607045845e-06,6.432497090222884,2.579884942697019,3.8525862949235097,0.02585786046004113
46,3,13.4,1.9369152030840556e-06,6.42352565453977,2.5773876126931636,3.84611242766283,0.02562569945632499
47,3,13.22,1.0926199633097157e-06,6.424620964089218,2.584163954063338,3.840431710895227,0.025303185860417327
48,3,12.96,4.865965629214819e-07,6.43717593319562,2.5784758584839955,3.858674172235995,0.025913404899516275
49,3,12.95,1.2179748700879012e-07,6.422576782654743,2.5764621240752086,3.846088684335047,0.025987222999790494
50,3,13.15,0.0,6.41534859063674,2.579275505883353,3.8360473951514886,0.025690125966710702
