epoch,clean_acc,lr,loss,L_task,L_adv,L_reg
1,24.53,0.01,4.789582953161123,2.1634735586691876,2.6261093920590928,0.0
2,31.3,0.01,4.232228339934836,1.9879356330754805,2.2442927056429336,0.0
3,33.89,0.01,3.958366318624847,1.8772120950173359,2.081154223607511,0.0
4,36.06,0.01,3.787024162253555,1.7999764182129685,1.9870477440405865,0.0
5,37.34,0.01,3.664932033237146,1.7427975723938065,1.9221344614515499,0.0
6,39.05,0.01,3.575994562129585,1.6994919630945946,1.8765025990349906,0.0
7,40.26,0.01,3.510036345647306,1.6664032486020302,1.843633096437065,0.0
8,40.91,0.01,3.450265329711291,1.6354504671632026,1.8148148631562993,0.0
9,42.22,0.01,3.3972468254517536,1.607182226618942,1.7900646000492328,0.0
10,42.81,0.01,3.351414911601008,1.583446202837691,1.767968709371528,0.0
11,43.35,0.01,3.309819613184248,1.5613572731310008,1.7484623400532469,0.0
12,44.84,0.01,3.273488938808441,1.5417696578162057,1.731719279775814,0.0
13,45.78,0.01,3.233555510336039,1.5202313667657423,1.713324144786718,0.0
14,46.07,0.01,3.202783563915564,1.5034610355386928,1.6993225295932926,0.0
15,46.55,0.01,3.169367034824527,1.4846181200475108,1.6847489129523843,0.0
16,47.22,0.01,3.1458728690536653,1.471248169942778,1.674624699719098,0.0
17,48.09,0.01,3.116157647298307,1.4544772998410829,1.6616803498900667,0.0
18,48.75,0.01,3.086362355825852,1.4379415220143843,1.6484208295539933,0.0
19,49.56,0.01,3.0568540984270522,1.4221023266412773,1.634751773610407,0.0
20,49.73,0.01,3.04029235912829,1.4117147089267263,1.6285776489851427,0.0
21,50.46,0.01,3.0138445423573863,1.3971317842298625,1.6167127611685772,0.0
22,50.8,0.01,2.9931561946868896,1.385411659065558,1.607744533188489,0.0
23,51.4,0.01,2.9724657036820235,1.373906205503308,1.5985594963540837,0.0
24,52.23,0.01,2.952989029641054,1.3624873836429752,1.590501642348815,0.0
25,52.76,0.01,2.930432616447916,1.350358568892187,1.580074053029625,0.0
26,53.29,0.01,2.9157707192459883,1.341676903622491,1.5740938119742336,0.0
27,53.38,0.01,2.892430396712556,1.3289460789184182,1.5634843171859274,0.0
28,54.05,0.01,2.876654678461503,1.3190679373789806,1.5575867368250478,0.0
29,54.6,0.01,2.861744683616015,1.3109541079219507,1.550790576910486,0.0
30,54.96,0.01,2.838869783343101,1.2986189966299095,1.540250790970666,0.0
31,55.02,0.01,2.8206844171699212,1.2875679159650997,1.533116491473451,0.0
32,55.26,0.01,2.806783661550405,1.279843003774176,1.526940651085912,0.0
33,55.78,0.01,2.7888124098583145,1.2696365416049957,1.5191758834585851,0.0
34,55.85,0.01,2.774510988167354,1.2617374044291827,1.5127735886038567,0.0
35,56.28,0.01,2.760517420817395,1.2534313731047573,1.5070860391976881,0.0
36,56.55,0.01,2.7467763460412318,1.2450132893056285,1.5017630470042327,0.0
37,56.66,0.01,2.7271939479574865,1.2343265961627572,1.4928673584850467,0.0
38,57.09,0.01,2.7128339628784026,1.2270560988358088,1.485777856135855,0.0
39,57.72,0.01,2.6982103233434716,1.2183822168379415,1.4798281040726875,0.0
40,57.98,0.01,2.6892596714350643,1.2128214167088878,1.4764382383044885,0.0
41,58.46,0.01,2.6731545560213985,1.2040222116879054,1.4691323364267543,0.0
42,58.45,0.01,2.6612469468797957,1.1975829637780482,1.463663982493537,0.0
43,58.63,0.01,2.6456150801814333,1.1885678993195903,1.457047191201424,0.0
44,59.36,0.01,2.632018940789359,1.1815161248859094,1.4505028165116602,0.0
45,59.27,0.01,2.6169889958537356,1.1729068178303388,1.4440821731577114,0.0
46,59.62,0.01,2.605073517682601,1.166155334029879,1.438918185477354,0.0
47,59.48,0.01,2.5948873162269592,1.1602018283946174,1.4346854893528684,0.0
48,60.09,0.01,2.584181679754841,1.154291792791717,1.4298898790563856,0.0
49,60.12,0.01,2.565110678575477,1.1434524135321986,1.421658264739173,0.0
50,60.47,0.01,2.5531576324482352,1.1373920477166468,1.4157655871644312,0.0
51,60.61,0.01,2.5432487543748348,1.1314969062805176,1.4117518493107386,0.0
52,60.92,0.01,2.530875624442587,1.1243328771420888,1.406542748821025,0.0
53,60.68,0.01,2.5182292510052116,1.1178869246220102,1.4003423318570973,0.0
54,61.57,0.01,2.505937171225645,1.1108553665024894,1.3950818016821025,0.0
55,61.17,0.01,2.4964716823733584,1.1046395420419926,1.3918321363779964,0.0
56,61.63,0.01,2.4860957264900208,1.0989546234510383,1.3871410993897184,0.0
57,61.79,0.01,2.4710394654955183,1.091283700295857,1.3797557670242933,0.0
58,61.87,0.01,2.462545728196903,1.086214155871041,1.3763315708053356,0.0
59,62.16,0.01,2.4468273216364333,1.0777345865356678,1.369092736317187,0.0
60,62.4,0.01,2.438639679733588,1.0724591548953737,1.3661805154109488,0.0
61,63.15,0.01,2.4262501183821232,1.0660942333693406,1.3601558780183598,0.0
62,62.85,0.01,2.4199190516861115,1.0623786349077613,1.3575404134331917,0.0
63,62.41,0.01,2.4094362648165957,1.0561153514652837,1.3533209136554174,0.0
64,62.63,0.01,2.39812731864501,1.0502034839318724,1.3479238395788231,0.0
