method,mean_spurious,mean_focus,std_spurious,std_focus
GradCAM,0.2537333333333333,0.2846,0.1294738995576586,0.24284497112355447
IG,0.18066666666666667,0.09013333333333333,0.0229207911439956,0.014231467481137234
LIME,0.23975000000000002,0.3802666666666667,0.06842969384704276,0.1627140641329651
SmoothGrad,0.215,0.15333333333333335,0.024813544688335045,0.02347736498559126
