epoch,iteration,clean_acc,lr,loss,L_task,L_adv,L_reg
1,1,39.75,0.0020000000000000005,4.105661459115087,1.9677519074508123,2.137909557746381,0.0
2,1,42.82,0.004000000000000001,3.670797721463807,1.7700603269800848,1.9007373877934046,0.0
3,1,45.71,0.006000000000000001,3.585109065990059,1.7225263331617628,1.8625827279626106,0.0
4,1,46.98,0.008000000000000002,3.478025258803854,1.6630690097808838,1.8149562465901277,0.0
5,1,52.0,0.010000000000000002,3.3706024264802736,1.6029628034757109,1.767639624829195,0.0
6,1,54.24,0.009987820251299124,3.262741897787367,1.5421666131944072,1.7205752809436954,0.0
7,1,58.0,0.009951340343707853,3.15538610365926,1.4830027964650367,1.6723833126681191,0.0
8,1,60.1,0.00989073800366903,3.0553019764472027,1.4274734039695895,1.6278285779515091,0.0
9,1,61.79,0.009806308479691597,2.977210120278962,1.3839626810988601,1.5932474422211549,0.0
10,1,62.21,0.009698463103929545,2.906505304939893,1.3451564147764323,1.5613488877306179,0.0
11,1,65.28,0.009567727288213005,2.8406906505020295,1.30844235359406,1.532248291434074,0.0
12,1,65.53,0.009414737964294637,2.7786595736231123,1.274388128397416,1.5042714306286402,0.0
13,1,66.86,0.009240240480782131,2.721128855432783,1.2433689187984078,1.4777599311604792,0.0
14,1,68.32,0.009045084971874739,2.6691794115669873,1.2155517887096017,1.4536276301559137,0.0
15,1,69.89,0.008830222215594891,2.6258262213395565,1.1937022409876998,1.432123979743646,0.0
16,1,69.99,0.008596699001693258,2.5859465513910567,1.1716812861209014,1.4142652743933153,0.0
17,1,69.54,0.008345653031794293,2.5451615696050682,1.1509260888002357,1.3942354698570407,0.0
18,1,71.67,0.008078307376628293,2.5130152215763015,1.134179682755957,1.378835538212134,0.0
19,1,72.37,0.007795964517353735,2.4772725871631076,1.1154841786744643,1.3617884030147476,0.0
20,1,73.62,0.0075000000000000015,2.4460630368213265,1.0983956960999235,1.3476673449788774,0.0
21,1,73.49,0.0071918557339453884,2.411606350723578,1.0815647661077732,1.330041586744542,0.0
22,1,75.04,0.0068730329670795625,2.3852205300817686,1.06756456074666,1.3176559787623736,0.0
23,1,75.14,0.006545084971874738,2.361076211442753,1.0553372928074427,1.3057389155942567,0.0
24,1,75.39,0.006209609477998339,2.3313128437314714,1.040012535696127,1.291300309555871,0.0
25,1,75.55,0.0058682408883346535,2.306245127502753,1.027346899010697,1.2788982312290036,0.0
26,1,76.24,0.005522642316338268,2.2878367815698897,1.0179183966651255,1.2699183937238188,0.0
27,1,76.81,0.005174497483512507,2.2666005127283992,1.0068095034482527,1.2597910141458317,0.0
28,1,77.02,0.0048255025164874975,2.24310610063222,0.9953467134310274,1.247759379294454,0.0
29,1,77.96,0.004477357683661734,2.2249571863485844,0.9863425876413073,1.238614598707277,0.0
30,1,77.75,0.004131759111665349,2.2106252896542453,0.9783006410817711,1.232324639145209,0.0
31,1,77.97,0.0037903905220016626,2.19078081663774,0.9689362839776643,1.2218445259697583,0.0
32,1,77.89,0.003454915028125264,2.176545020268888,0.9620479521702747,1.2144970662739811,0.0
33,1,78.68,0.0031269670329204403,2.1666294798559074,0.956629211197094,1.2100002729162878,0.0
34,1,78.67,0.002808144266054613,2.1482478149083195,0.9475767615498328,1.2006710408901682,0.0
35,1,79.06,0.002500000000000002,2.1363463310562834,0.9418556310084402,1.1944907046094233,0.0
36,1,79.5,0.002204035482646267,2.1241408525681007,0.9361743793195608,1.1879664793306468,0.0
37,1,79.56,0.0019216926233717089,2.117777545233162,0.9331032311429783,1.1846743055752345,0.0
38,1,79.57,0.0016543469682057108,2.106988640464082,0.9272083092708977,1.179780333626027,0.0
39,1,80.0,0.0014033009983067453,2.0955218210512276,0.9217736438220862,1.1737481781414576,0.0
40,1,79.64,0.0011697777844051106,2.0897750392252084,0.9193227996631544,1.170452243211318,0.0
41,1,80.08,0.0009549150281252635,2.0835379860839067,0.9158166510109998,1.167721337201644,0.0
42,1,79.89,0.0007597595192178703,2.0777150806115596,0.91286601582352,1.1648490562730907,0.0
43,1,80.13,0.0005852620357053651,2.069383535458117,0.908764655796849,1.1606188769243202,0.0
44,1,80.04,0.0004322727117869952,2.069984029142224,0.9089798452902813,1.1610041814191001,0.0
45,1,80.18,0.0003015368960704585,2.061915617816302,0.9049459230534884,1.1569696926340765,0.0
46,1,80.23,0.00019369152030840556,2.0631440585973313,0.9058371450828047,1.1573069089529466,0.0
47,1,80.32,0.00010926199633097158,2.0575946277501633,0.9031785461975603,1.1544160769910228,0.0
48,1,80.27,4.86596562921482e-05,2.0568815700861873,0.9025694651871311,1.154312100337476,0.0
49,1,80.35,1.2179748700879014e-05,2.0554854036593926,0.9021997828872836,1.1532856201638981,0.0
50,1,79.86,0.0,2.0587923417285996,0.9034355535190932,1.1553567854725584,0.0
